ticker,company_name,ciq_company_id,ciq_company_name,exchange,sector,industry,match_method,match_confidence,is_primary_share_class,primary_ticker,related_tickers,mapping_status,notes,universe_as_of_date,mapping_verified_at,mapping_source
META,Meta Platforms,20765463,"Meta Platforms, Inc.",Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,META,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=26,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MNST,Monster Beverage,343729,Monster Beverage Corporation,Nasdaq,Consumer Staples,Soft Drinks,ticker_exchange_match,0.99,True,MNST,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MPWR,Monolithic Power Systems,3051626,"Monolithic Power Systems, Inc.",Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,MPWR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=4,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MRVL,Marvell Technology,31158,"Marvell Technology, Inc.",Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,MRVL,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MSFT,Microsoft,21835,Microsoft Corporation,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,MSFT,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=14,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MSTR,MicroStrategy,384976,Strategy Inc,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,MSTR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=10,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MU,Micron Technology,289030,"Micron Technology, Inc.",Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,MU,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
NFLX,"Netflix, Inc.",32012,"Netflix, Inc.",Nasdaq,Consumer Discretionary,Consumer Electronics,ticker_exchange_match,0.99,True,NFLX,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=11,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
NVDA,Nvidia,32307,NVIDIA Corporation,Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,NVDA,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=10,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
NXPI,NXP Semiconductors,934467,NXP Semiconductors N.V.,Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,NXPI,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ODFL,Old Dominion Freight Line,319404,"Old Dominion Freight Line, Inc.",Nasdaq,Industrials,Trucking Freight/Courier Services,ticker_exchange_match,0.99,True,ODFL,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=2,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ORLY,O'Reilly Automotive,324289,"O'Reilly Automotive, Inc.",Nasdaq,Consumer Discretionary,Auto & Home Supply Stores,ticker_exchange_match,0.99,True,ORLY,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=4,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
PANW,Palo Alto Networks,25460099,"Palo Alto Networks, Inc.",Nasdaq,Technology,Computer Peripheral Equipment,ticker_exchange_match,0.99,True,PANW,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=6,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
PAYX,Paychex,295368,"Paychex, Inc.",Nasdaq,Industrials,Diversified Commercial Services,ticker_exchange_match,0.99,True,PAYX,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
PCAR,Paccar,294721,PACCAR Inc,Nasdaq,Consumer Discretionary,Motor Vehicles,ticker_exchange_match,0.99,True,PCAR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=6,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
PDD,PDD Holdings,572577901,PDD Holdings Inc.,Nasdaq,Technology,EDP Services,ticker_exchange_match,0.99,True,PDD,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
PEP,PepsiCo,32854,"PepsiCo, Inc.",Nasdaq,Consumer Staples,Soft Drinks,ticker_exchange_match,0.99,True,PEP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=27,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
PLTR,Palantir Technologies,43580005,Palantir Technologies Inc.,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,PLTR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=11,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
PYPL,PayPal,112732,"PayPal Holdings, Inc.",Nasdaq,Industrials,Diversified Commercial Services,ticker_exchange_match,0.99,True,PYPL,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=8,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
QCOM,Qualcomm,33493,QUALCOMM Incorporated,Nasdaq,Technology,Broadcasting & Communications Equipment,ticker_exchange_match,0.99,True,QCOM,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=8,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
REGN,Regeneron Pharmaceuticals,33715,"Regeneron Pharmaceuticals, Inc.",Nasdaq,Health Care,Biotechnology,ticker_exchange_match,0.99,True,REGN,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=4,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ROP,Roper Technologies,22751,"Roper Technologies, Inc.",Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,ROP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=6,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ROST,Ross Stores,33926,"Ross Stores, Inc.",Nasdaq,Consumer Discretionary,Clothing/Shoe/Accessory Stores,ticker_exchange_match,0.99,True,ROST,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=10,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
SBUX,Starbucks,34745,Starbucks Corporation,Nasdaq,Consumer Discretionary,Restaurants,ticker_exchange_match,0.99,True,SBUX,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=11,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
SHOP,Shopify,84159238,Shopify Inc.,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,SHOP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=15,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
SNDK,Sandisk,1860586153,Sandisk Corporation,Nasdaq,Technology,Electronic Components,ticker_exchange_match,0.99,True,SNDK,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
SNPS,Synopsys,35028,"Synopsys, Inc.",Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,SNPS,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=9,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
